; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
vyapavfj	vyapavarj
samapavfj	samapavarj
apivfj	apivarj
aBivfj	aBivarj
avavfj	avavarj
Avfj	Avarj
apAvfj	apAvarj
prAvfj	prAvarj
vyAvfj	vyAvarj
parivyAvfj	parivyAvarj
samAvfj	samAvarj
udvfj	udvarj
nivfj	nivarj
anunivfj	anunivarj
parAvfj	parAvarj
parivfj	parivarj
saMparivfj	saMparivarj
pravfj	pravarj
anupravfj	anupravarj
prativfj	prativarj
vivfj	vivarj
saMvfj	saMvarj
acCavft	acCavart
ativft	ativart
aByativft	aByativart
vyativft	vyativart
samativft	samativart
aDivft	aDivart
anuvft	anuvart
samanuvft	samanuvart
apavft	apavart
vyapavft	vyapavart
samapavft	samapavart
apivft	apivart
aBivft	aBivart
samaBivft	samaBivart
aByavavft	aByavavart
nyavavft	nyavavart
samavavft	samavavart
Avft	Avart
anvatyAvft	anvatyAvart
anvAvft	anvAvart
apAvft	apAvart
aByAvft	aByAvart
udAvft	udAvart
upAvft	upAvart
paryupAvft	paryupAvart
nyAvft	nyAvart
paryAvft	paryAvart
anuparyAvft	anuparyAvart
apaparyAvft	apaparyAvart
aBiparyAvft	aBiparyAvart
upaparyAvft	upaparyAvart
pratiparyAvft	pratiparyAvart
viparyAvft	viparyAvart
prAvft	prAvart
pratyAvft	pratyAvart
vyAvft	vyAvart
samAvft	samAvart
aBisamAvft	aBisamAvart
upasamAvft	upasamAvart
udvft	udvart
samudvft	samudvart
upavft	upavart
samupavft	samupavart
nivft	nivart
anunivft	anunivart
aBinivft	aBinivart
upanivft	upanivart
aByupanivft	aByupanivart
parinivft	parinivart
pratinivft	pratinivart
vinivft	vinivart
samnivft	samnivart
nisvft	nisvart
aBinisvft	aBinisvart
upanisvft	upanisvart
vinisvft	vinisvart
parAvft	parAvart
viparAvft	viparAvart
parivft	parivart
anuparivft	anuparivart
viparivft	viparivart
saMparivft	saMparivart
pravft	pravart
atipravft	atipravart
anupravft	anupravart
aBipravft	aBipravart
upapravft	upapravart
paripravft	paripravart
pratipravft	pratipravart
sampravft	sampravart
aBisampravft	aBisampravart
prativft	prativart
vivft	vivart
ativivft	ativivart
anuvivft	anuvivart
saMvft	saMvart
aDisaMvft	aDisaMvart
aBisaMvft	aBisaMvart
ativfz	ativarz
anuvfz	anuvarz
aBivfz	aBivarz
samaBivfz	samaBivarz
avavfz	avavarz
Avfz	Avarz
udvfz	udvarz
nisvfz	nisvarz
parivfz	parivarz
pravfz	pravarz
aBipravfz	aBipravarz
sampravfz	sampravarz
prativfz	prativarz
vivfz	vivarz
saMvfz	saMvarz
saMvastraya	saMvastray
upavAjaya	upavAjay
nisvap	nisvApay
aDivAs	aDivAsay
anuvAs	anuvAsay
aBivAs	aBivAsay
AvAs	AvAsay
samAvAs	samAvAsay
saMvAs	saMvAsay
saMviGnaya	saMviGnay
praviSAlaya	praviSAlay
anuvIr	anuvIray
AvfzAya	AvfzAy
udvfzAya	udvfzAy
aDivye	aDivyA
apavye	apavyA
apivye	apivyA
aBivye	aBivyA
avavye	avavyA
Avye	AvyA
udvye	udvyA
upavye	upavyA
nivye	nivyA
parivye	parivyA
prativye	prativyA
saMvye	saMvyA
anusaMvye	anusaMvyA
aBisaMvye	aBisaMvyA
upasaMvye	upasaMvyA
nisvraR	nisvraRay
upavrataya	upavratay
viSakalaya	viSakalay
apaSad	apaSat
avaSad	avaSat
vyavaSad	vyavaSat
ASad	ASat
niSad	niSat
parASad	parASat
praSad	praSat
viSad	viSat
saMSad	saMSat
atiSabd	atiSabday
anuSabd	anuSabday
aBiSabd	aBiSabday
pariSabd	pariSabday
viSabd	viSabday
saMSabd	saMSabday
vyatiSF	vyatiSar
anuSF	anuSar
apiSF	apiSar
avaSF	avaSar
ASF	ASar
niSF	niSar
nisSF	nisSar
parASF	parASar
pariSF	pariSar
praSF	praSar
sampraSF	sampraSar
pratiSF	pratiSar
viSF	viSar
aBiviSF	aBiviSar
nirviSF	nirviSar
praviSF	praviSar
saMSF	saMSar
aDiSF	aDiSar
udSF	udSar
saMpariSF	saMpariSar
aBisaMSF	aBisaMSar
atiSaravyaya	atiSaravyay
praSfD	praSarD
atipraSfD	atipraSarD
avaSfD	avaSarD
viSfD	viSarD
avaSE	avaSA
ASE	ASA
niSE	niSA
atiSE	atiSA
nisSE	nisSA
saMSE	saMSA
visaMSE	visaMSA
pariSiTilaya	pariSiTilay
ASrI	ASir
atiSIl	atiSIlay
anuSIl	anuSIlay
pariSIl	pariSIlay
saMSIl	saMSIlay
aBiSyE	aBiSyA
samaBiSyE	samaBiSyA
