; Case 001  akz  2 (0/2)
14      prati         Ir               pratIr               pratIr yes
15         vi         Ir                  vIr                  vIr yes
16        sam         Ir                samIr                samIr yes
17     aBisam         Ir             aBisamIr             aBisamIr yes
; Case 043  IS  1 (1/0)
01       pari         IS                parIS                parIS yes
; Case 044  Iz  11 (10/1)
01        ati         Iz                 atIz                 atIz yes
02        apa         Iz                 apez                 apez no
03          A         Iz                   ez                   ez yes
04        upA         Iz                 upez                 upez yes
05     pratyA         Iz              pratyez              pratyez yes
06         ud         Iz                 udIz                 udIz yes
07      samud         Iz              samudIz              samudIz yes
08        upa         Iz                 upez                 upez yes
09      prati         Iz               pratIz               pratIz yes
10         vi         Iz                  vIz                  vIz yes
11        sam         Iz                samIz                samIz yes
; Case 045  Ih  2 (1/1)
01      prati         Ih               pratIh               pratIh no
02        sam         Ih                samIh                samIh yes
; Case 046  u  2 (2/0)
01          A          u                    o                    o yes
02         vi          u                  vyu                  vyu yes
; Case 047  ukz  13 (11/2)
01        anu        ukz                anUkz                anUkz yes
02        aBi        ukz               aByukz               aByukz yes
03         ud        ukz                udukz                udukz yes
04        upa        ukz                upokz                upokz yes
05        nis        ukz               nirukz               nirukz yes
06       pari        ukz              paryukz              paryukz yes
07    anupari        ukz           anuparyukz           anuparyukz yes
08    aBipari        ukz           aBiparyukz           aBiparyukz no
09        pra        ukz                prokz                prokz yes
10     saMpra        ukz             saMprokz             saMprokz no
11         vi        ukz                vyukz                vyukz yes
12      aBivi        ukz             aBivyukz             aBivyukz yes
13        sam        ukz               samukz               samukz yes
; Case 048  uc  3 (3/0)
01        aBi         uc                aByuc                aByuc yes
02         ni         uc                 nyuc                 nyuc yes
03        sam         uc                samuc                samuc yes
; Case 049  ujJ  2 (2/0)
01        pra        ujJ                projJ                projJ yes
02        sam        ujJ               samujJ               samujJ yes
; Case 050  uYC  1 (1/0)
01        pra        uYC                proYC                proYC yes
; Case 051  utkaRW  2 (0/2)
01        pra     utkaRW             protkaRW            protkaRWa no
02        sam     utkaRW            samutkaRW           samutkaRWa no
; Case 052  ud  5 (4/1)
01        anu         ud                 anUd                 anUd yes
02        ava         ud                 avod                 avod no
03        upa         ud                 upod                 upod yes
04         ni         ud                 nyud                 nyud yes
05         vi         ud                 vyud                 vyud yes
; Case 053  ubj  7 (7/0)
01         ud        ubj                udubj                udubj yes
02         ni        ubj                nyubj                nyubj yes
03      aBini        ubj             aBinyubj             aBinyubj yes
04        nis        ubj               nirubj               nirubj yes
05         vi        ubj                vyubj                vyubj yes
06        sam        ubj               samubj               samubj yes
07     aBisam        ubj            aBisamubj            aBisamubj yes
; Case 054  uB  4 (3/1)
01        apa         uB                 apoB                 apoB no
02         ni         uB                 nyuB                 nyuB yes
03        pra         uB                 proB                 proB yes
04        sam         uB                samuB                samuB yes
; Case 055  ullAGay  1 (0/1)
01        pra    ullAGay            prollAGay           prollAGaya no
; Case 056  uz  7 (7/0)
01        aBi         uz                aByuz                aByuz yes
02         ud         uz                 uduz                 uduz yes
03        upa         uz                 upoz                 upoz yes
04     samupa         uz              samupoz              samupoz yes
05         ni         uz                 nyuz                 nyuz yes
06      prati         uz              pratyuz              pratyuz yes
07        sam         uz                samuz                samuz yes
; Case 057  UrRu  8 (6/2)
01        apa       UrRu               aporRu               aporRu yes
02   pratyapa       UrRu          pratyaporRu          pratyaporRu yes
03        aBi       UrRu              aByUrRu              aByUrRu yes
04          A       UrRu                 orRu                 orRu no
05       pari       UrRu             paryUrRu             paryUrRu yes
06        pra       UrRu               prorRu               prorRu yes
07     saMpra       UrRu            saMprorRu            saMprorRu no
08         vi       UrRu               vyUrRu               vyUrRu yes
; Case 058  Uh  33 (25/8)
01        ati         Uh                atyUh                atyUh yes
02      vyati         Uh              vyatyUh              vyatyUh yes
03        aDi         Uh                aDyUh                aDyUh yes
04        apa         Uh                 apoh                 apoh yes
05      avApa         Uh               avApoh               avApoh no
06      vyapa         Uh               vyapoh               vyapoh yes
07     samapa         Uh              samapoh              samapoh yes
08        aBi         Uh                aByUh                aByUh yes
09        ava         Uh                 avoh                 avoh no
10         ud         Uh                 udUh                 udUh yes
11       apod         Uh               apodUh               apodUh yes
12      aByud         Uh              aByudUh              aByudUh yes
13    pratyud         Uh            pratyudUh            pratyudUh no
14       vyud         Uh               vyudUh               vyudUh yes
15        upa         Uh                 upoh                 upoh yes
16     samupa         Uh              samupoh              samupoh no
17         ni         Uh                 nyUh                 nyUh yes
18        nis         Uh                nirUh                nirUh yes
19       pari         Uh               paryUh               paryUh yes
20     vipari         Uh             viparyUh             viparyUh yes
21        pra         Uh                 proh                 proh yes
22      prati         Uh              pratyUh              pratyUh yes
23         vi         Uh                 vyUh                 vyUh yes
24      anuvi         Uh              anuvyUh              anuvyUh yes
25      nirvi         Uh              nirvyUh              nirvyUh no
26    prativi         Uh            prativyUh            prativyUh yes
